excel_region,parent_code,quality_tier,source,limitations,has_geometry
argentina: mendoza,ARG-1902-2025,2,GADM admin-1: ARG [Mendoza],Modern Mendoza province; boundaries stable since colonial era,True
australia: queensland,AUS-1901-2025,2,GADM admin-1: AUS [Queensland],Boundaries stable since colonial era; Queensland established 1859,True
australia: tasmania,AUS-1901-2025,2,GADM admin-1: AUS [Tasmania],Island; boundaries inherently stable,True
australia: victoria,AUS-1901-2025,2,GADM admin-1: AUS [Victoria],Boundaries stable since separation from New South Wales (1851),True
brazil: sao paulo,BRA-1909-2025,2,GADM admin-1: BRA [São Paulo],Modern São Paulo state; boundaries mostly stable,True
british india: crown provinces,IND-1800-1947,4,No proxy available,Crown provinces (~60% of subcontinent) were directly-ruled territories forming a patchwork. No modern admin equivalent due to 1947 Partition and 1956 linguistic state reorganisation,False
"british india: crown provinces, excluding burma",IND-1800-1947,4,No proxy available,"Crown provinces minus Burma. Same limitations as 'Crown provinces'; Burma subtraction is feasible with CShapes Myanmar polygon, but Crown/Princely distinction has no spatial equivalent",False
british india: excluding burma,IND-1800-1947,3,CShapes 2.0 subtracted: India - [Myanmar (Burma)],"CShapes British India polygon minus CShapes Myanmar polygon. Gives correct outer boundary, but cannot represent internal Crown provinces vs Princely states distinction",True
british india: princely states,IND-1800-1947,4,No proxy available,"Princely states (~584 semi-autonomous entities, ~40% of subcontinent) formed a scattered patchwork. No modern admin equivalent; would require specialised historical GIS (e.g. Imperial Gazetteer maps)",False
british india: south provinces,IND-1800-1947,4,No proxy available,"Likely Madras Presidency and southern territories. Roughly modern Tamil Nadu + Kerala + Andhra Pradesh + parts of Karnataka, but boundaries differ substantially from modern states",False
british kenya (european cultivation),KEN-1924-1926,2,"CShapes 2.0 (Kenya, 1914-1920)",Not a geographic subdivision; 'European cultivation' is a data variant. Using full Kenya CShapes polygon,True
