continent,country,notes
AFRICA,Algeria,"French invaded and settled in Algiers in 1830. From 1848 until independence, France administered the whole Mediterranean region of Algeria as an integral part and département of the nation. We use the series from Mitchell (2007), where there is no information on bullion or re-exports. We deflate with Federico-Tena price indexes."
AFRICA,Angola,"The Portuguese were present in some – mostly coastal – points of the territory of what is now Angola, from the 16th to the 19th century, interacting in diverse ways with the peoples who lived there. In the 19th century, they slowly and hesitantly began to establish themselves in the interior. Angola as a Portuguese colony encompassing the present territory was not established before the end of the 19th century, and ""effective occupation"". We use data for current imports and exports for the years 1901-1936 in sterling pounds from Salgado (1939; “Mapa nº3” and “Mapa nº6”) which excludes bullion. We extend these series backwards to 1848, with the series of ‘National and nationalized Portuguese Exports and Imports from African colonies’ by Clarence-Smith (1983, p.404) and exports only to 1828 with the series of current exports from Ghana. We deflate with the Federico-Tena price indexes for British Gambia until 1850, and with Federico-Tena price indexes for Angola and Mozambique thereafter."
AFRICA,Belgian Congo (Zaire),"The Kingdom of Kongo was a powerful kingdom that existed from the 14th to the 18th century. It was the dominant force in the region until the arrival of the Portuguese. The Congo Free State (1885–1908) was a corporate state privately controlled by Leopold II of Belgium through the Association Internationale African, a non-governmental organization. Leopold was the sole shareholder and chairman. The state included the entire area of the present Democratic Republic of the Congo and Roger Casement's famous 1904 report estimated in ten million people. On 15 November 1908 King Léopold II of Belgium formally relinquished personal control of the Congo Free State. The renamed Belgian Congo came under the administration of the Belgian parliament, which lasted until independence was granted in 1960. We obtain a series of exports and imports in current Belgian francs from the Belgium Statistical Yearbook with some additiona from Mitchell (2007). Before 1887, we assume that trade was registered in trade statistics of neighboring polities. We deflate with Federico-Tena export and import price indexes since 1887."
AFRICA,British Cameroons,"It was a British Mandate territory in West Africa from 1922 to 1938. The area of present-day Cameroon was claimed by Germany as a protectorate during the ""Scramble for Africa"" at the end of the 19th century. During World War I, it was occupied by British, French and Belgian troops, and later mandated to Great Britain and France by the League of Nations in 1922. Northern Cameroons became a region of Nigeria on 31 May 1961, while Southern Cameroons became part of Cameroon later that year on 1 October 1961. In the meantime, the area was administered as a United Kingdom Trust Territory (UKTT). Britain's territory, a strip bordering Nigeria from the sea to Lake Chad, with an equal population was ruled from Lagos as Cameroons (British Cameroons). The trade of British Cameroons is included in trade of Nigeria (see United Kindgom (Colonies). Trade Statistics 1937 p.209)."
AFRICA,British East Africa (Kenya and Uganda),"The British East Africa  ""sphere of influence"", agreed at the Berlin Conference of 1885, extended up the coast and inland across the future Kenya and after 1890 included Uganda as well. Mombasa was the administrative center at this time. Exports and imports current data in pounds from 1895-1938 are the sum of Kenia and Uganda protectorate trade data. We use the series from United Kingdom (colonies). Statistical Yearbook for Uganda 1895-1913 and for both colonies since 1914, while for Kenya 1895-1914 we resort to data from Mitchell (2007).  We extrapolate backwards trade to 1828 with the series for Mauritius. We subtract re-exports according to the data from the same Statistical yearbook since 1913, using the 1913 figure (ca 10% - i.e. about a half of the percentage in interwar years) for the previous years.  We deflate with Federico-Tena export and import price indexes for Mauritius for 1828-1850 and for British East Africa thereafter."
AFRICA,British Protectorate (British Somaliland),"In 1888, after signing successive treaties with the then ruling Somali Sultans, the British established a protectorate in the region referred to as British Somaliland. Exports and imports current data in pounds from 1891-1938 came from United Kingdom (colonies). Statistical Yearbook. We extrapolate backwards to 1850 with the series for the Mauritius. We subtract re-exports according to the data from the same Statistical yearbook since 1913, using the 1913 figure (ca 10% - i.e. about a half of the percentage in interwar years) for the previous years. We deflate with Federico-Tena British Somaliland export and import price indexes."
AFRICA,Cape Verde (Cabo Verde),"Positioned on the great trade routes between Africa, Europe, and the New World, the archipelago under Portuguese rule prospered from the transatlantic slave trade, in the 16th century.  The 19th-century decline of the lucrative slave trade was only overcome because the British used Cape Verde as a storage depot for coal which was bound for the Americas. We use data for current imports and exports for the years 1901-1936 in sterling pounds from Salgado (1939; “Mapa nº3” and “ Mapa nº6”) which excludes bullion. We extrapolate the series at current prices to 1850 and in 1937-1938 with the trade data of Mauritius We deflate with Federico-Tena price indexes for Angola and Mozambique."
AFRICA,Cameroon (Kamerun),"Beginning on July 5, 1884, all of present-day Cameroon and parts of several of its neighbors became a German colony. In World War I the British invaded Cameroon from Nigeria in 1914.  After the war this colony was partitioned between the United Kingdom and France under a June 28, 1919 League of Nations mandates (Class B). France gained the larger geographical share, transferred Neukamerun back to neighboring French colonies, and ruled the rest from Yaoundé as Cameroun (French Cameroons). Britain's territory, a strip bordering Nigeria from the sea to Lake Chad, with an equal population was ruled from Lagos as Cameroons (British Cameroons). So we assume that it is German colony to 1914, and French since 1919.  Current exports and imports data came from Mitchell (2007) since 1891 (until 1914 in marks and in French Francs thereafter). We extrapolate to 1850 and in 1915-1918 with the series of trade of Ghana-Gold Coast respective exports and imports series. We deflate with Federico-Tena export and import price indexes."
AFRICA,Canary Islands,"Gran Canaria, a colony of Castile since March 6, 1480 and Tenerife, a Spanish colony since 1495, had separate governors. Canary Island was an independent trade policy unit before 1953, when it was incorporated to the Spanish trade statistical territory. Current prices for exports and imports are obtained from different sources - Quintana Navarro 1992 (reporting data from British Consular Reports) for 1826, 1853-56, 1861-69, 1872-73, 1884-1893, Martin-Hernandez (1992, p.97) for 1877-1881, both in pounds, and Spain. Statistical yearbook 1935 (in gold pesetas, without bullion) for 1931-1934. We have filled the gaps according to the Spanish exports and imports. We use for deflation the Federico-Tena Guatemala export and import price index, as the Canary had a similar export bundle."
AFRICA,Ceuta y Melilla,"In 1415, during the Battle of Ceuta, the city was captured by the Portuguese during the reign of John I of Portugal. During this time, Ceuta attracted many residents of Spanish origin. Ceuta became the only city of the Portuguese Empire that sided with Spain when Portugal regained its independence in 1640, and war broke out between the two countries. Melilla was conquered virtually without a fight in 1497, a few years after Castile had taken control of the Kingdom of Granada.  Ceuta y Melilla as the Canary Island are independent trade policies units before 1953 when both were incorporated to the Spanish trade statistical territory. We start from the data on total trade (in gold pesetas without bullion) for 1931-1934 in Spain. Statistical yearbook 1935, and we extrapolate them backwards to 1826 (for exports) and to 1850 (for imports) and forward to 1938 with the Canary trade series. We use for deflation the Federico-Tena Morocco price indexes."
AFRICA,Egypt,"Muhammad Ali emerged as a dominant figure and in 1805 was acknowledged by the Sultan in Istanbul as his viceroy in Egypt; the title implied subordination to the Sultan but this was in fact a polite fiction. Egypt annexed Northern Sudan (1820–1824), Syria (1833), and parts of Arabia and Anatolia; but in 1841 the European powers forced to return most of this conquests to the Ottomans, with the exception of Sudan. The Suez Canal, built in 1869 with the French and British partnership.  British rule lasted from 1882 when the British succeeded in defeating the Egyptian Army and took control of the country, to 1952. Current export and import series came from Mitchell (2007) in Egyptian Pounds, which we convert in dollars with the exchange rate from Appendix. We deflate these current price series with Federico-Tena price indexes for 1850-1885 and with the Hansen-Lucas (1978) indexes from 1885 to 1938."
AFRICA,Eritrea:,"In the period following the opening of the Suez Canal in 1869, when European powers scrambled for territory in Africa and tried to establish coaling stations for their ships, Italy invaded Ethiopia and occupied Eritrea. On 1 January 1890, Eritrea officially became a colony of Italy. In 1936, it became a province of Italian East Africa (Africa Orientale Italiana), along with Ethiopia and Italian Somaliland. We use the current exports and imports data from the League of Nations. Trade Statistics. Review in 1929-1938 and we extrapolate backwards to 1850 with the series for British Somalia. We also use the Federico-Tena British Somalia export and import price index for deflation."
AFRICA,Ethiopia,"Ethiopia was the only African country to defeat a European colonial power and retain its sovereignty as an independent country before 1936 became an Italian colony for a few years. It was the first independent African member of the League of Nations. We start from current exports from the League of Nations. Trade Statistics. Review for 1931-1934, we assume imports in the same proportion as British Somaliland and we extrapolate with the series of British Somaliland exports and imports backwards to 1850 and forward to 1938. We deflate with the Federico-Tena export and import price indexes for British Somaliland."
AFRICA,French Equatorial Africa (Congo and Chad),"France first established its presence in 1841 but the French consolidated their legal claim to the area through an 1887 convention with Congo Free State. However, the French did not consolidate their control over the area until 1903 after established colonial administration throughout the territory before in 1910, it became one of the four territories of the Federation of French Equatorial Africa (A.E.F.).  From the economic point of view, the French Equatorial Africa is divided in two regions. On one side, the territories of the Atlantic border that are part administratively of the Gabón Colonie as the ports of Libreville, Cap Lopez, Sette Cama and  Loango. On the other side, the territories close to the river Congo of the High Congo formed by the colonies of du Moyen Congo and I'Oubangui, Chari Tchad. Most the foreign trade pass across the port of Brazzaville and the Congo Belga border. Includes present-day Central African  Republic (colony 1906-1910), Chad (1891-1910), Gabon (protectorate 1839-1885, colony 1885-1910), French Congo (1882-1910). We obtain data of exports and imports since 1865 onwards from Mitchell (2007) and we extrapolate them backwards to 1850 assuming trade being nil in that year as landlocked territory.  From 1884 onwards, we piece together an annual series from French sources - France (colonies- Gulfe de Guinee et Congo). Trade statistics for 1884-1891, Gouvernment AEF (1913) for 1892  to 1912, and France. Statistical Yearbook (1939 p.223) from 1913 to 1921 (labeled Congo A.E.F.) and 1938 (Afrique Équatoriale Francaise).[1]  The data are deflated with Federico-Tena price indexes for French Equatorial Africa from 1850 to 1924 and with the indexes by Poquin (1957 Appendix) from 1924 to 1938."
AFRICA,French Somalia,"French colony in the Horn of Africa. It was established between 1883 and 1887, after the ruling Somali and Afar Sultans signed various treaties with the French. This arrangement lasted until 1946, when the polity became an overseas territory of France. In 1977, it became the independent country of Djibouti. We use current exports and imports series for Cóte des Somalies France. Statistical Yearbook (1939 p.220). We move that level backwards to 1828 according to British Somaliland trade. For constant prices we deflate using the Federico-Tena British Somaliland export and import price index."
AFRICA,French West Africa,"The Four Communes of Senegal were entitled to elect a Deputy to represent them in the French Parliament in the years 1848–1852, 1871–1876, and 1879–1940.  As the French pursued their part in the scramble for Africa in the 1880s and 1890s, they conquered large inland areas, and at first ruled them as either a part of the Senegal colony, or as independent entities. In the late 1890s, the French government began to rein in the territorial expansion of its ""officers on the ground"", and transferred all the territories west of Gabon to a single Governor based in Senegal. The first Governor General of Senegal was named in 1895, and in 1904, the territories he oversaw were formally named French West Africa (AOF). Gabon would later become the seat of its own federation French Equatorial Africa (AEF).  Administratively the colonial territory is formed on one side by five maritime territories: Mauritania (port Etienne), Senegal (Port Saint Louis and the big port of Dakar), French Guiney (Conakry), Ivory Coast (Port Bouet) and The Dahomey (Cotonou).  We assume that trade of the landlocked territories (French Sudan, High Volta and the Niger) are included in the series of French West Africa. From 1839 to 1891 we proxy total trade with the series for French Senegal, inclusive of Saint Louis and Coree, from France (colonies) Statistical Yearbook for 1839-1881 and France. Trade Statistics (1892) for 1881-1891. Since 1892 we use the data from France. Statistical Yearbook (1939) referring to Dahomey, Cote de Ivory, French Niguer, High Senegal and Niguer until 1920 and to the French West Africa thereafter.  Since 1922 we sum the trade of French Togoland, formerly part of German West Africa, even if formally it did not belong to the colony. We have extended backwards the export series from 1838 to 1830 following the series of Algerie. We deflate the current imports from 1850 with a Federico-Tena price index for French West Africa, exports with a Federico-Tena price index from 1850 to 1924,  and with the price index from Poquin (1957, Appendix) from 1924 onwards."
AFRICA,Gambia,"The British established the military post of Bathurst (now Banjul) in 1816. In the ensuing years, Banjul was at times under the jurisdiction of the British Governor General in Sierra Leone. In 1888 Gambia became a separate colony. An agreement with the French Republic in 1889 established the present boundaries. The Gambia became a British Crown colony called British Gambia. We get data of exports and imports from United Kingdom (colonies) Statistical Yearbook (ad annum) from 1828 to 1914 and from 1922 to 1938 and from Mitchell (2007) for 1915-1921.  We subtract re-exports according to the data from the same Statistical yearbook since 1913, using the 1913 figure (ca 1% - i.e. less than a third of the percentage in interwar years) for the previous years. We extrapolate the export series to 1817 by reflating the series of British commodity imports from West Africa at constant prices from Inikori (1983) with the Liverpool Palm oil price index (Latham 1973 p.292-293). We deflate the series with Federico-Tena price indexes from 1817 onwards."
